product_name,category,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo)
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,38,129
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,106,422
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",38,33
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",40,57
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",341,531
Atliq_Curtains,"Home Care",300,BOGOF,70,231
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",68,90
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",19,15
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",309,460
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",223,301
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",477,658
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",112,85
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,28,96
Atliq_Curtains,"Home Care",300,BOGOF,42,130
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",25,37
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,120,516
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",311,385
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",250,755
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,22,69
Atliq_Curtains,"Home Care",300,BOGOF,63,213
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",270,340
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",15,12
"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,190,752
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",65,"50% OFF",129,167
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",91,116
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",49,40
Atliq_Curtains,"Home Care",300,BOGOF,31,105
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",182,223
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",28,22
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",65,"50% OFF",71,95
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",595,892
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",306,416
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",19,15
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,24,80
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,82,323
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",332,471
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,52,173
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",290,"25% OFF",302,289
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",16,13
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,52,204
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",108,145
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",232,364
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",73,97
Atliq_Curtains,"Home Care",300,BOGOF,54,170
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",122,163
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",110,"50% OFF",40,60
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",135,286
Atliq_Curtains,"Home Care",300,BOGOF,51,205
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",94,83
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",136,288
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",556,711
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",82,126
Atliq_Curtains,"Home Care",300,BOGOF,36,119
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",28,20
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,42,161
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",98,76
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",379,462
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",57,55
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",270,313
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",468,636
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",91,88
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,63,163
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",90,"25% OFF",58,47
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",24,34
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",89,80
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",65,"50% OFF",133,172
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",234,322
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",42,45
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",96,84
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",124,145
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",499,703
"Atliq_Suflower_Oil (1L)","Grocery & Staples",156,"25% OFF",252,224
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",290,"25% OFF",322,276
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",129,279
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",90,"25% OFF",46,33
"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,228,898
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,52,175
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",525,756
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",38,58
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",110,"50% OFF",92,124
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",90,"25% OFF",79,63
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,40,136
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,91,361
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,43,125
"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,294,1134
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",18,14
"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,406,1015
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",63,54
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,52,182
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",64,100
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",50,"25% OFF",27,20
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",40,58
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",101,97
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",75,117
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,33,129
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",85,74
"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,250,687
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",357,514
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",313,541
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,40,154
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,49,189
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",290,"25% OFF",276,242
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",50,"25% OFF",25,20
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",90,"25% OFF",61,57
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",564,721
"Atliq_Suflower_Oil (1L)","Grocery & Staples",156,"25% OFF",351,319
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,54,185
"Atliq_Suflower_Oil (1L)","Grocery & Staples",156,"25% OFF",327,294
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",51,57
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",52,45
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",43,62
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",327,503
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",110,"50% OFF",75,80
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,60,238
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,117,469
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,112,294
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,94,329
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",65,"50% OFF",136,179
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",337,478
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",110,"50% OFF",75,95
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",10,9
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,37,96
"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,310,1246
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,88,346
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",43,51
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",136,220
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,43,127
"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,416,1630
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,43,171
"Atliq_Suflower_Oil (1L)","Grocery & Staples",156,"25% OFF",274,210
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",397,1214
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,480,1867
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",90,"25% OFF",66,49
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",58,81
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",85,117
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",56,71
"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,193,746
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",31,50
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",85,81
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",50,64
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",54,77
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,40,168
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",46,73
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",127,115
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",110,"50% OFF",73,92
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",110,"50% OFF",59,89
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,94,374
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",411,509
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",65,"50% OFF",105,132
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",15,14
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",50,"25% OFF",31,26
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",112,321
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",28,40
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,43,125
Atliq_Curtains,"Home Care",300,BOGOF,45,191
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,36,145
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",287,413
"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,472,1902
"Atliq_Suflower_Oil (1L)","Grocery & Staples",156,"25% OFF",357,289
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,416,1085
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,46,179
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,29,96
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",449,1499
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",65,"50% OFF",127,168
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",19,14
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",50,"25% OFF",21,17
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,45,149
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",57,66
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,49,164
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",290,"25% OFF",327,287
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,47,163
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",110,"50% OFF",40,54
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",65,"50% OFF",84,127
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,45,153
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",610,847
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",61,59
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",301,869
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,66,220
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",106,243
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",320,467
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",303,360
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",110,"50% OFF",49,65
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",21,18
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",290,"25% OFF",383,344
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",36,29
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",18,14
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",50,"25% OFF",25,21
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",19,16
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,40,158
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,432,1736
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",22,18
Atliq_Curtains,"Home Care",300,BOGOF,40,155
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",121,273
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",25,28
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,42,139
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",110,"50% OFF",36,48
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",66,144
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",43,66
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",65,"50% OFF",122,153
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",316,818
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,52,180
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",87,78
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",381,1303
"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,331,903
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,97,378
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",18,13
Atliq_Curtains,"Home Care",300,BOGOF,75,217
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",400,476
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",203,296
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",65,"50% OFF",112,151
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",333,456
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,36,139
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",316,388
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",46,34
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",90,"25% OFF",72,58
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",262,673
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,27,70
"Atliq_Suflower_Oil (1L)","Grocery & Staples",156,"25% OFF",276,267
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",122,107
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",63,84
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",166,225
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",49,42
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",471,659
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",234,840
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",486,1273
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",311,398
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,75,198
Atliq_Curtains,"Home Care",300,BOGOF,40,165
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",110,"50% OFF",73,95
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,115,445
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,267,731
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",52,72
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",129,104
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",36,55
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",127,367
"Atliq_Suflower_Oil (1L)","Grocery & Staples",156,"25% OFF",208,197
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,63,189
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",70,62
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",292,750
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",34,38
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,40,138
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",90,"25% OFF",54,45
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,111,441
Atliq_Curtains,"Home Care",300,BOGOF,61,236
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",82,190
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",87,114
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",50,"25% OFF",19,15
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",61,86
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,36,126
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",77,97
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",90,"25% OFF",40,28
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",90,"25% OFF",63,53
"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,336,913
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",110,"50% OFF",59,67
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",110,"50% OFF",63,86
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",91,211
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",80,108
"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,376,1447
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",90,"25% OFF",54,51
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",90,"25% OFF",57,47
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,71,248
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,483,1907
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",106,102
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",48,69
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",28,40
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,43,145
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",119,107
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",110,"50% OFF",71,90
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",112,165
Atliq_Curtains,"Home Care",300,BOGOF,26,87
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",50,"25% OFF",22,18
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,379,1622
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",141,217
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",90,"25% OFF",42,35
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,130,514
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,73,192
Atliq_Curtains,"Home Care",300,BOGOF,33,83
"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,190,741
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",322,483
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",330,504
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",367,612
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,370,1457
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",290,"25% OFF",197,175
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",369,546
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",109,192
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,16,63
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,51,205
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",290,"25% OFF",246,214
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",147,320
"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,432,1736
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",120,345
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",448,1545
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,102,279
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,54,222
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",50,"25% OFF",18,13
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",25,21
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,87,346
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,82,239
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",90,"25% OFF",49,46
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",532,813
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",50,"25% OFF",36,29
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,54,137
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",18,15
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,36,145
"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,261,1041
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",55,77
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",110,"50% OFF",84,131
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",133,383
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,454,1756
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",400,580
Atliq_Curtains,"Home Care",300,BOGOF,22,88
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,29,116
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",90,"25% OFF",67,56
Atliq_Curtains,"Home Care",300,BOGOF,48,185
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,45,137
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,47,159
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",90,146
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",90,"25% OFF",81,60
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",24,19
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",34,39
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",78,121
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",121,274
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",31,45
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,78,331
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,73,282
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",46,66
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,29,98
Atliq_Curtains,"Home Care",300,BOGOF,48,188
Atliq_Curtains,"Home Care",300,BOGOF,38,113
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",91,89
